,Address,Long,Lat
0,", Missoula, MT",-114.0,46.87
1,"110 W Broadway, Missoula, MT",,
2,"250  STATION DR, Missoula, MT",-114.0,46.87
3,"201 W FRONT & MAIN, Missoula, MT",,
4,"1021 E Broadway, Missoula, MT",,
5,"500 S HIGGINS, Missoula, MT",,
6,"115 W Broadway, Missoula, MT",,
7,"147 W BROADWAY, Missoula, MT",,
8,"145 W FRONT ST, Missoula, MT",-114.0,46.87
9,"430 N HIGGINS AVE, Missoula, MT",-113.99,46.87
10,"228 N Higgins, Missoula, MT",,
11,"  , Missoula, MT",-114.0,46.87
12,"201 W RAILROAD ST, Missoula, MT",-113.99,46.88
13,"101 E MAIN ST, Missoula, MT",-113.99,46.87
14,"316-318 N HIGGINS AVE, Missoula, MT",-113.99,46.87
15,"200 N HIGGINS, Missoula, MT",,
16,"118 W ALDER ST, Missoula, MT",-113.99,46.88
17,"  , Missoula, MT",-114.0,46.87
18,"301 N HIGGINS AVE, Missoula, MT",-113.99,46.87
19,"515 W Front St, Missoula, MT",-114.0,46.87
20,"330 N HIGGINS AVE, Missoula, MT",-113.99,46.87
21,"329 N HIGGINS AVE, Missoula, MT",-113.99,46.87
22,"515 S HIGGINS AVE, Missoula, MT",-114.0,46.87
23,"345 W Front St, Missoula, MT",-114.0,46.87
24,"207 E MAIN ST, Missoula, MT",-113.99,46.87
25,"  , Missoula, MT",-114.0,46.87
26,"134 W Front St, Missoula, MT",-114.0,46.87
27,"225 E MAIN ST, Missoula, MT",-113.99,46.87
28,"  , Missoula, MT",-114.0,46.87
29,"  , Missoula, MT",-114.0,46.87
30,"100  RYMAN ST, Missoula, MT",-114.0,46.87
31,"  , Missoula, MT",-114.0,46.87
32,"180-204 S THIRD ST W, Missoula, MT",,
33,"  , Missoula, MT",-114.0,46.87
34,"  , Missoula, MT",-114.0,46.87
35,"730 S HIGGINS, Missoula, MT",,
36,"900 S HIGGINS AVE, Missoula, MT",-114.0,46.86
37,"101 S THIRD ST W, Missoula, MT",,
38,"100  RAILROAD ST, Missoula, MT",-113.99,46.88
39,"  , Missoula, MT",-114.0,46.87
40,"  , Missoula, MT",-114.0,46.87
41,"  , Missoula, MT",-114.0,46.87
42,"307 N HIGGINS AVE, Missoula, MT",-113.99,46.87
43,"103 W SPRUCE ST, Missoula, MT",-113.99,46.87
44,"235 E PINE ST, Missoula, MT",-113.99,46.87
45,"424 N HIGGINS AVE, Missoula, MT",-113.99,46.87
46,"  , Missoula, MT",-114.0,46.87
